,Clip,Activity,Assessment,Game,session_title,accumulated_correct_attempts,accumulated_uncorrect_attempts,duration_mean,accumulated_accuracy,accuracy_group,0,1,2,3,accumulated_accuracy_group,accumulated_actions
0,11,3,0,4,21,0,0,0.0,0.0,3,0,0,0,0,0.0,647
1,14,4,1,6,20,1,0,39.0,1.0,0,0,0,0,1,3.0,1143
2,14,4,2,6,21,1,11,65.5,0.5,3,1,0,0,1,1.5,1230
3,24,9,4,10,21,2,11,41.25,0.5,2,2,0,0,2,1.5,2159
4,28,10,5,13,20,3,12,39.2,0.5,3,2,0,1,2,1.6,2586
5,15,6,0,4,8,0,0,0.0,0.0,3,0,0,0,0,0.0,1542
6,28,8,2,5,21,1,0,7.0,0.5,0,1,0,0,1,1.5,1898
7,30,8,3,6,20,1,4,35.0,0.3333333333333333,2,2,0,0,1,1.0,2022
8,0,0,1,0,20,0,0,0.0,0.0,3,1,0,0,0,0.0,3
9,6,0,0,0,21,0,0,0.0,0.0,2,0,0,0,0,0.0,6
10,6,0,1,0,21,1,1,51.0,0.5,3,0,0,1,0,2.0,70
11,10,0,2,0,20,2,1,40.5,0.75,0,0,0,1,1,2.5,111
12,17,0,3,2,35,2,6,44.333333333333336,0.5,3,1,0,1,1,1.6666666666666667,281
13,19,1,5,3,12,3,6,32.2,0.5,0,2,0,1,2,1.6,380
14,10,3,1,3,20,0,0,9.0,0.0,0,1,0,0,0,0.0,604
15,21,10,0,11,12,0,0,0.0,0.0,0,0,0,0,0,0.0,2500
16,12,2,0,3,12,0,0,0.0,0.0,0,0,0,0,0,0.0,731
17,18,10,1,9,21,0,5,50.0,0.0,2,1,0,0,0,0.0,2359
18,19,10,2,9,20,1,6,51.0,0.25,1,1,0,1,0,1.0,2407
19,20,10,3,9,35,2,16,79.66666666666667,0.196969696969697,3,1,1,1,0,1.0,2500
20,20,10,4,9,12,3,16,70.25,0.3977272727272727,0,1,1,1,1,1.5,2535
21,23,11,5,9,8,3,23,70.4,0.3181818181818182,3,2,1,1,1,1.2,2868
22,25,12,6,10,21,4,23,64.33333333333333,0.4318181818181818,3,2,1,1,2,1.5,2982
23,27,13,7,10,20,5,23,61.0,0.512987012987013,2,2,1,1,3,1.7142857142857142,3112
24,39,15,8,11,20,6,24,60.5,0.5113636363636364,1,2,1,2,3,1.75,3379
25,9,2,0,1,21,0,0,0.0,0.0,3,0,0,0,0,0.0,189
26,13,3,1,3,20,1,0,34.0,1.0,2,0,0,0,1,3.0,653
27,22,4,2,5,35,2,1,41.5,0.75,3,0,0,1,1,2.5,984
28,22,4,3,5,35,3,1,37.333333333333336,0.8333333333333334,3,0,0,1,2,2.6666666666666665,1013
29,24,5,4,7,12,4,1,35.0,0.875,0,0,0,1,3,2.75,1185
30,27,8,5,11,8,4,5,40.8,0.7,3,1,0,1,3,2.2,1746
31,8,4,3,1,8,0,0,5.0,0.0,3,3,0,0,0,0.0,92
32,8,4,4,1,20,1,0,7.0,0.25,0,3,0,0,1,0.75,109
33,17,4,7,1,8,1,1,7.714285714285714,0.14285714285714285,3,6,0,0,1,0.42857142857142855,158
34,21,7,10,1,20,2,1,10.6,0.2,0,8,0,0,2,0.6,312
35,5,0,0,1,8,0,0,0.0,0.0,3,0,0,0,0,0.0,104
36,6,0,1,1,35,1,0,67.0,1.0,3,0,0,0,1,3.0,168
37,7,0,2,1,12,2,0,48.5,1.0,0,0,0,0,2,3.0,196
38,37,4,0,2,35,0,0,0.0,0.0,3,0,0,0,0,0.0,380
39,37,4,1,2,35,1,0,66.0,1.0,0,0,0,0,1,3.0,432
40,16,5,2,7,20,0,0,8.0,0.0,0,2,0,0,0,0.0,677
41,24,8,3,9,8,0,8,26.333333333333332,0.0,1,3,0,0,0,0.0,938
42,25,9,4,9,20,1,10,29.25,0.08333333333333333,0,3,1,0,0,0.25,1035
43,26,11,5,11,12,1,17,34.6,0.06666666666666667,0,4,1,0,0,0.2,1350
44,27,12,6,13,8,1,21,34.333333333333336,0.05555555555555555,3,5,1,0,0,0.16666666666666666,1661
45,27,13,7,14,20,2,21,34.142857142857146,0.19047619047619047,1,5,1,0,1,0.5714285714285714,1814
46,27,13,8,14,21,3,23,42.0,0.20833333333333331,0,5,2,0,1,0.625,1894
47,27,13,9,14,21,3,29,44.22222222222222,0.18518518518518517,0,6,2,0,1,0.5555555555555556,1972
48,30,15,11,15,20,3,32,40.54545454545455,0.1515151515151515,0,8,2,0,1,0.45454545454545453,2107
49,18,0,0,1,35,0,0,0.0,0.0,0,0,0,0,0,0.0,122
50,18,0,1,1,35,0,6,67.0,0.0,0,1,0,0,0,0.0,190
51,18,0,2,1,35,0,8,3119.0,0.0,0,2,0,0,0,0.0,247
52,20,1,3,1,35,0,9,2103.0,0.0,0,3,0,0,0,0.0,359
53,1,0,0,0,21,0,0,0.0,0.0,3,0,0,0,0,0.0,1
54,19,6,0,2,8,0,0,0.0,0.0,1,0,0,0,0,0.0,853
55,7,1,0,2,35,0,0,0.0,0.0,2,0,0,0,0,0.0,63
56,8,0,0,1,35,0,0,0.0,0.0,3,0,0,0,0,0.0,161
57,9,0,0,4,8,0,0,0.0,0.0,3,0,0,0,0,0.0,338
58,9,0,1,4,8,1,0,53.0,1.0,3,0,0,0,1,3.0,391
59,11,0,2,5,21,2,0,38.0,1.0,3,0,0,0,2,3.0,472
60,12,0,3,7,20,3,0,36.666666666666664,1.0,2,0,0,0,3,3.0,663
61,13,1,4,8,8,4,1,41.5,0.875,3,0,0,1,3,2.75,814
62,14,1,5,9,35,5,1,37.2,0.9,3,0,0,1,4,2.8,949
63,15,2,6,11,12,6,1,34.166666666666664,0.9166666666666666,2,0,0,1,5,2.8333333333333335,1275
64,16,2,7,11,35,7,2,36.714285714285715,0.8571428571428571,3,0,0,2,5,2.7142857142857144,1323
65,1,0,0,0,12,0,0,0.0,0.0,3,0,0,0,0,0.0,1
66,1,1,1,0,8,1,0,37.0,1.0,2,0,0,0,1,3.0,59
67,6,2,2,2,35,2,1,38.0,0.75,3,0,0,1,1,2.5,346
68,8,3,3,4,12,3,1,31.0,0.8333333333333334,0,0,0,1,2,2.6666666666666665,685
69,13,4,4,6,20,3,6,44.25,0.625,1,1,0,1,2,2.0,1062
70,13,5,5,7,8,4,8,56.8,0.5666666666666667,3,1,1,1,2,1.8,1320
